subject,use_coral,window_sec,acc_trca,acc_fbcca,acc_ensemble,itr_ensemble,w_trca,w_fbcca
S01,True,4.1,60.83,69.17,74.17,27.32,0.8149,0.7288
S02,True,4.1,38.33,40.0,44.17,9.71,0.8954,0.7612
S03,True,4.1,72.5,80.83,81.67,33.12,0.8853,0.7158
S04,True,4.1,35.0,32.5,38.33,7.19,0.9019,0.7695
S05,True,4.1,78.33,81.67,83.33,34.51,0.876,0.7149
S06,True,4.1,87.5,89.17,90.0,40.54,0.7871,0.7066
S07,True,4.1,86.67,65.0,89.17,39.74,0.864,0.7334
S08,True,4.1,93.33,90.83,92.5,43.04,0.7695,0.7047
S09,True,4.1,89.17,81.67,89.17,39.74,0.8501,0.7149
S10,True,4.1,90.83,93.33,91.67,42.19,0.8621,0.7019
