subject,use_coral,window_sec,acc_trca,acc_fbcca,acc_ensemble,itr_ensemble,w_trca,w_fbcca
S01,False,4.1,87.5,69.17,91.67,42.19,0.8779,0.7288
S02,False,4.1,40.0,40.0,46.67,10.88,0.9214,0.7612
S03,False,4.1,85.0,80.83,85.0,35.94,0.8927,0.7158
S04,False,4.1,35.83,32.5,40.83,8.23,0.9316,0.7695
S05,False,4.1,85.0,81.67,85.83,36.68,0.8936,0.7149
S06,False,4.1,97.5,89.17,95.83,46.7,0.8769,0.7066
S07,False,4.1,95.0,65.0,93.33,43.92,0.9075,0.7334
S08,False,4.1,100.0,90.83,99.17,51.02,0.8825,0.7047
S09,False,4.1,91.67,81.67,90.0,40.54,0.888,0.7149
S10,False,4.1,95.0,93.33,95.83,46.7,0.8936,0.7019
