subject,use_coral,window_sec,acc_trca,acc_fbcca,acc_ensemble,itr_ensemble,w_trca,w_fbcca
S01,True,2.0,55.0,37.5,60.83,37.92,0.7353,0.4473
S02,True,2.0,24.17,20.0,25.83,5.85,0.8001,0.4667
S03,True,2.0,73.33,40.0,75.83,58.53,0.8158,0.4445
S04,True,2.0,25.83,15.0,25.83,5.85,0.8547,0.4723
S05,True,2.0,74.17,45.83,78.33,62.44,0.8001,0.438
S06,True,2.0,80.83,50.83,80.83,66.51,0.7279,0.3945
S07,True,2.0,66.67,35.83,65.0,43.2,0.7862,0.4491
S08,True,2.0,89.17,58.33,82.5,69.32,0.7177,0.3862
S09,True,2.0,85.0,41.67,80.0,65.13,0.7732,0.4427
S10,True,2.0,84.17,83.33,89.17,81.46,0.7593,0.3964
